id,aircraft_registration_number,aircraft_type,flight_number,departure_airport,departure_datetime,arrival_airport,arrival_datetime
1,ZX-IKD,350,M645,HEL,2024-01-02 21:46:27,DXB,2024-01-03 02:31:27
2,ZW-TNZ,787,K319,SFO,2023-03-25 15:55:27,DXB,2023-03-25 17:53:27
3,AT-DKP,320,U140,OUL,2023-04-17 07:18:27,CDG,2023-04-17 11:02:27
4,MZ-ZCP,320,J630,HND,2023-08-21 06:15:27,CDG,2023-08-21 07:53:27
5,ZT-GYN,350,V456,CDG,2024-01-05 06:13:27,SFO,2024-01-05 16:37:27
6,RX-JGD,350,Q321,HND,2023-10-10 20:57:27,CDG,2023-10-11 00:24:27
7,RT-API,320,W127,JFK,2023-10-08 10:42:27,AMS,2023-10-09 00:28:27
8,OT-GOS,350,S901,HEL,2024-01-03 21:23:27,LHR,2024-01-03 22:42:27
9,EG-HRT,787,G443,LHR,2023-03-08 23:15:27,DXB,2023-03-09 11:26:27
10,YX-BNR,320,U466,LHR,2023-06-05 11:37:27,SFO,2023-06-05 22:41:27
11,AP-ZYN,787,P276,DXB,2023-10-19 01:17:27,HEL,2023-10-19 10:45:27
12,IQ-WLZ,350,M760,CDG,2023-11-04 05:24:27,OUL,2023-11-04 10:28:27
13,GU-HLG,320,V762,DXB,2024-01-28 04:32:27,HND,2024-01-28 07:02:27
14,RM-CEZ,350,T920,LHR,2023-12-27 22:17:27,OUL,2023-12-28 03:02:27
15,RH-HUP,787,U222,FRA,2023-03-07 11:22:27,LHR,2023-03-07 17:19:27
16,UU-KRY,320,Y516,JFK,2023-06-13 10:00:27,OUL,2023-06-13 13:29:27
17,FW-YFC,787,Y469,LHR,2023-11-15 00:23:27,AMS,2023-11-15 02:43:27
18,SB-VRD,787,M414,OUL,2023-11-13 11:04:27,SFO,2023-11-13 21:37:27
19,NC-GHF,320,R891,JFK,2023-08-27 07:02:27,HEL,2023-08-27 09:24:27
20,LT-OGA,787,A600,AMS,2023-12-22 20:13:27,LHR,2023-12-23 01:48:27
21,MV-GWX,320,E310,OUL,2023-12-04 11:10:27,CDG,2023-12-04 12:40:27
22,HW-UWW,787,Q218,FRA,2023-04-24 22:51:27,HEL,2023-04-25 01:09:27
23,HO-JEF,787,T987,HEL,2023-08-19 17:13:27,DXB,2023-08-19 20:27:27
24,TJ-MTD,320,M516,HND,2023-03-30 09:49:27,AMS,2023-03-30 20:23:27
25,BZ-DJK,787,Z246,OUL,2023-03-24 05:36:27,HND,2023-03-24 08:49:27
26,IG-XJC,320,F704,FRA,2024-01-05 12:50:27,CDG,2024-01-05 23:07:27
27,JR-JIR,320,L742,DXB,2023-08-04 10:29:27,AMS,2023-08-04 18:28:27
28,CN-ZGY,320,E997,CDG,2023-05-05 15:09:27,JFK,2023-05-06 02:12:27
29,PC-FJV,350,L477,CDG,2024-02-17 14:05:27,FRA,2024-02-17 20:03:27
30,BN-EGZ,350,S658,JFK,2023-07-19 08:10:27,CDG,2023-07-19 10:33:27
31,VK-YZJ,350,T875,LHR,2023-07-27 11:17:27,JFK,2023-07-27 17:11:27
32,VT-BLA,350,I410,HND,2023-04-01 14:23:27,AMS,2023-04-01 23:52:27
33,TT-UFO,320,T762,HND,2023-12-02 09:37:27,HEL,2023-12-02 17:58:27
34,HT-UMT,787,R832,HEL,2023-11-16 12:54:27,DXB,2023-11-16 21:15:27
35,SK-ZQP,320,O256,HND,2023-08-25 03:47:27,OUL,2023-08-25 06:22:27
36,XY-VKE,787,S691,HEL,2023-10-29 14:59:27,CDG,2023-10-29 19:08:27
37,XC-IDP,787,I570,FRA,2023-12-29 18:52:27,AMS,2023-12-29 21:24:27
38,WV-EPN,320,G927,FRA,2023-02-28 16:09:27,SFO,2023-02-28 18:54:27
39,OZ-AGS,320,W244,AMS,2023-07-09 07:31:27,FRA,2023-07-09 14:06:27
40,HA-VHV,320,Q444,HND,2023-09-19 14:47:27,HEL,2023-09-20 03:38:27
41,WT-HZI,787,T335,AMS,2023-06-01 12:48:27,HEL,2023-06-01 19:02:27
42,QJ-VDX,350,F414,LHR,2023-12-08 03:19:27,HEL,2023-12-08 07:43:27
43,DM-XAI,350,D789,HEL,2024-01-08 09:44:27,HND,2024-01-08 16:58:27
44,RB-LQB,320,T875,OUL,2023-05-29 23:38:27,HND,2023-05-30 08:46:27
45,VW-QTI,350,W906,HEL,2023-12-13 16:01:27,DXB,2023-12-13 21:38:27
46,UH-ZKJ,350,R993,HND,2023-05-02 16:49:27,DXB,2023-05-03 04:03:27
47,PA-LNU,787,D450,HND,2023-04-20 18:07:27,HEL,2023-04-20 20:11:27
48,CM-LXJ,350,D979,LHR,2023-06-05 18:15:27,DXB,2023-06-06 00:42:27
49,IE-HJA,320,O992,FRA,2023-12-15 17:03:27,AMS,2023-12-15 19:25:27
50,YD-TSP,320,T665,HEL,2023-06-25 22:59:27,OUL,2023-06-26 04:49:27
51,QI-ACX,787,L106,FRA,2023-11-10 22:30:27,AMS,2023-11-11 08:08:27
52,KS-ZYN,320,D250,LHR,2023-06-20 18:57:27,HEL,2023-06-21 01:28:27
53,ZV-HKF,787,Z700,JFK,2023-10-23 14:01:27,DXB,2023-10-23 23:08:27
54,EI-UGU,350,T956,LHR,2023-05-28 01:37:27,CDG,2023-05-28 11:29:27
55,QT-ZVU,320,N631,CDG,2023-04-20 15:43:27,AMS,2023-04-20 19:13:27
56,VU-UZG,350,K255,OUL,2024-01-22 02:00:27,AMS,2024-01-22 15:58:27
57,NU-WWV,320,G320,CDG,2023-10-03 10:25:27,LHR,2023-10-03 14:59:27
58,BB-CDQ,320,V493,AMS,2023-12-28 12:06:27,HND,2023-12-28 16:57:27
59,OC-EQD,787,D434,HND,2023-06-18 11:58:27,SFO,2023-06-19 00:05:27
60,SQ-UXC,787,F394,JFK,2023-03-09 04:15:27,FRA,2023-03-09 08:51:27
61,ZE-RSH,787,W111,SFO,2024-01-31 05:27:27,LHR,2024-01-31 07:36:27
62,FS-GFS,350,V989,AMS,2024-01-14 08:19:27,HEL,2024-01-14 18:32:27
63,DL-XQS,320,V436,CDG,2023-05-04 17:49:27,SFO,2023-05-04 21:12:27
64,NS-HMB,787,V742,HEL,2023-08-02 05:05:27,DXB,2023-08-02 14:42:27
65,UR-SQG,320,M939,OUL,2023-10-14 00:52:27,DXB,2023-10-14 05:44:27
66,ES-LSL,350,G570,OUL,2023-07-01 14:18:27,SFO,2023-07-01 18:08:27
67,RI-UFH,320,O446,LHR,2023-11-20 07:51:27,SFO,2023-11-20 16:42:27
68,MU-BAT,320,Z314,SFO,2023-08-26 21:03:27,LHR,2023-08-26 23:09:27
69,ZD-ALS,350,B374,SFO,2023-09-12 02:37:27,DXB,2023-09-12 12:07:27
70,VY-FZI,350,D406,HEL,2023-09-15 04:46:27,OUL,2023-09-15 16:32:27
71,VG-DOV,787,C411,SFO,2024-01-06 00:49:27,HEL,2024-01-06 06:03:27
72,LU-TSG,350,E765,HEL,2023-03-29 21:51:27,LHR,2023-03-30 07:46:27
73,CL-ZLP,320,T210,OUL,2023-08-17 23:02:27,HEL,2023-08-18 02:41:27
74,MD-GCM,320,A578,JFK,2024-02-04 19:40:27,DXB,2024-02-05 01:19:27
75,FY-LWF,320,B874,JFK,2023-06-22 18:19:27,SFO,2023-06-23 06:39:27
76,BL-RQY,787,M365,FRA,2023-04-14 02:29:27,SFO,2023-04-14 11:34:27
77,VC-ZBC,320,M869,OUL,2023-03-24 12:44:27,AMS,2023-03-25 01:39:27
78,FJ-IUQ,787,A980,LHR,2023-11-09 19:23:27,SFO,2023-11-10 08:55:27
79,IR-PGK,320,Y643,CDG,2024-02-01 14:19:27,SFO,2024-02-01 20:43:27
80,YL-GDO,787,R820,DXB,2023-12-04 10:41:27,JFK,2023-12-04 17:07:27
81,GE-ZOP,350,Q258,SFO,2023-06-06 03:18:27,HND,2023-06-06 09:26:27
82,VD-YJF,320,L284,LHR,2023-12-25 14:10:27,DXB,2023-12-25 17:25:27
83,YT-DZU,350,W255,FRA,2023-07-04 05:02:27,AMS,2023-07-04 06:29:27
84,RT-TXZ,350,C569,HEL,2023-08-15 10:35:27,FRA,2023-08-15 18:32:27
85,OO-GVK,350,N188,JFK,2023-07-13 06:59:27,DXB,2023-07-13 09:50:27
86,MM-AFL,350,J187,LHR,2023-07-22 19:33:27,DXB,2023-07-23 07:47:27
87,RL-FCD,350,X331,AMS,2023-11-25 08:55:27,OUL,2023-11-25 19:41:27
88,NY-CVT,350,R317,SFO,2024-02-03 05:16:27,HEL,2024-02-03 15:32:27
89,OD-KXE,350,G872,AMS,2023-07-16 03:22:27,DXB,2023-07-16 07:08:27
90,FG-QWW,320,P417,FRA,2023-05-12 16:29:27,HND,2023-05-12 19:15:27
91,MF-CKJ,320,L944,AMS,2023-10-24 16:59:27,FRA,2023-10-24 22:13:27
92,DM-IOK,320,G994,OUL,2023-04-27 07:11:27,LHR,2023-04-27 16:55:27
93,OD-JXX,350,K699,LHR,2023-12-31 09:36:27,JFK,2023-12-31 18:11:27
94,BY-UBQ,350,Y558,OUL,2023-05-08 07:24:27,DXB,2023-05-08 15:13:27
95,EQ-HGU,350,W719,LHR,2023-12-27 02:43:27,DXB,2023-12-27 10:22:27
96,ZP-OFV,350,U961,LHR,2023-04-21 15:24:27,FRA,2023-04-21 20:59:27
97,PW-RXH,350,K352,FRA,2024-01-15 02:30:27,AMS,2024-01-15 11:44:27
98,RJ-TWM,320,W707,AMS,2023-03-28 11:21:27,DXB,2023-03-28 22:42:27
99,QK-BYK,320,B707,LHR,2023-07-19 02:45:27,CDG,2023-07-19 12:14:27
100,UT-ZGA,350,M217,FRA,2023-03-09 03:17:27,LHR,2023-03-09 17:05:27
101,XW-DZY,350,N483,AMS,2023-12-10 04:13:27,LHR,2023-12-10 05:20:27
102,CJ-XWU,320,C856,OUL,2023-12-31 10:45:27,AMS,2023-12-31 14:29:27
103,NH-VQD,350,K276,FRA,2023-09-23 02:13:27,HEL,2023-09-23 04:37:27
104,EH-XHF,320,U135,JFK,2023-09-10 10:44:27,DXB,2023-09-10 12:02:27
105,UH-TWP,320,V280,JFK,2023-10-03 11:18:27,CDG,2023-10-03 21:30:27
106,SW-VEM,350,Y680,HND,2023-06-23 13:15:27,JFK,2023-06-23 15:27:27
107,CQ-ZBU,350,U605,OUL,2023-10-14 01:16:27,CDG,2023-10-14 08:23:27
108,IH-VKJ,787,T255,OUL,2023-08-18 05:44:27,SFO,2023-08-18 17:24:27
109,BK-QWP,787,G774,FRA,2024-01-14 20:45:27,AMS,2024-01-15 07:40:27
110,PL-IOZ,787,P860,AMS,2023-11-21 15:34:27,HEL,2023-11-21 16:49:27
111,MJ-NCW,787,J855,HEL,2023-07-23 22:52:27,FRA,2023-07-24 07:20:27
112,MC-GGA,787,S880,CDG,2023-05-11 21:30:27,LHR,2023-05-12 00:56:27
113,XU-NPM,350,L193,DXB,2023-10-27 22:49:27,HND,2023-10-28 11:32:27
114,ZE-XPG,787,E336,DXB,2023-11-01 00:06:27,CDG,2023-11-01 06:47:27
115,NN-FZR,320,Z231,CDG,2023-08-17 23:32:27,AMS,2023-08-18 01:01:27
116,AN-TRJ,787,A464,HEL,2023-12-14 02:09:27,FRA,2023-12-14 05:12:27
117,BR-NZI,787,G650,SFO,2024-02-03 01:09:27,HND,2024-02-03 10:07:27
118,XG-HRX,787,U724,FRA,2024-02-11 05:21:27,DXB,2024-02-11 15:53:27
119,KM-QTK,320,R341,HND,2023-07-20 04:49:27,HEL,2023-07-20 13:17:27
120,EL-ZNM,787,F299,LHR,2023-03-26 02:04:27,AMS,2023-03-26 09:30:27
121,IQ-GMP,350,S914,OUL,2023-12-31 09:52:27,SFO,2023-12-31 19:36:27
122,YC-WLA,350,J656,JFK,2024-02-13 18:51:27,DXB,2024-02-13 20:11:27
123,TQ-GOL,320,B459,CDG,2023-09-29 10:03:27,LHR,2023-09-29 20:06:27
124,WK-VNW,787,Y253,AMS,2023-04-23 19:50:27,CDG,2023-04-24 01:12:27
125,BR-RTR,787,C649,CDG,2024-01-01 03:18:27,JFK,2024-01-01 08:33:27
126,BQ-XFS,320,U605,CDG,2023-05-25 08:15:27,DXB,2023-05-25 15:08:27
127,YK-AUA,787,Q100,CDG,2023-12-03 14:37:27,HND,2023-12-03 16:06:27
128,MP-SHC,350,X422,DXB,2023-07-07 18:52:27,SFO,2023-07-08 02:27:27
129,RR-VWO,350,S714,SFO,2023-05-21 03:22:27,LHR,2023-05-21 14:59:27
130,VY-FGW,350,X126,LHR,2023-11-16 16:11:27,SFO,2023-11-17 02:07:27
131,LE-XZO,320,L802,HND,2023-03-21 17:58:27,SFO,2023-03-22 01:36:27
132,TC-GMD,350,E735,HND,2024-01-25 06:11:27,HEL,2024-01-25 17:41:27
133,HZ-BBS,787,M343,SFO,2024-01-11 10:08:27,AMS,2024-01-11 22:34:27
134,RB-ZXH,350,W611,LHR,2024-02-08 06:58:27,JFK,2024-02-08 19:47:27
135,ND-OOA,350,N344,SFO,2024-01-03 08:41:27,FRA,2024-01-03 10:24:27
136,UL-VSC,787,V361,HEL,2024-01-15 01:45:27,FRA,2024-01-15 07:50:27
137,SM-FDU,320,C518,JFK,2023-06-21 15:36:27,FRA,2023-06-21 22:17:27
138,HW-RJR,320,H370,SFO,2023-12-03 06:42:27,FRA,2023-12-03 18:43:27
139,YC-UDS,787,X607,HEL,2023-11-21 23:23:27,JFK,2023-11-22 06:30:27
140,LF-POF,787,E962,CDG,2023-09-22 03:15:27,HND,2023-09-22 09:38:27
141,VZ-TMI,320,C380,HEL,2023-08-19 10:50:27,DXB,2023-08-19 23:18:27
142,HF-PIN,787,L415,OUL,2023-12-14 08:57:27,CDG,2023-12-14 22:46:27
143,SK-KNK,350,Z221,OUL,2023-08-05 01:55:27,LHR,2023-08-05 11:53:27
144,RR-DRO,320,X489,DXB,2023-04-13 02:39:27,LHR,2023-04-13 14:55:27
145,XW-SPA,350,C431,JFK,2023-03-02 06:55:27,HND,2023-03-02 18:36:27
146,CO-WSG,320,M151,SFO,2024-02-08 03:01:27,HND,2024-02-08 15:58:27
147,FW-AEE,787,Y349,CDG,2024-02-06 04:01:27,HEL,2024-02-06 08:21:27
148,AV-KKC,350,V956,AMS,2023-09-15 21:20:27,LHR,2023-09-16 09:07:27
149,EE-UYB,350,O976,HEL,2024-01-23 03:47:27,OUL,2024-01-23 07:49:27
150,XC-AJO,787,D730,JFK,2023-09-22 21:13:27,LHR,2023-09-23 04:33:27
996,G-DIX,320,AY120,HEL,2024-01-30 14:00:00,OUL,2024-01-30 15:30:00
151,JO-AGT,787,U425,LHR,2023-08-23 16:21:27,AMS,2023-08-24 05:05:27
152,IB-DGZ,350,N635,SFO,2023-04-23 14:17:27,HEL,2023-04-23 18:02:27
153,DZ-EPI,320,Y647,OUL,2023-07-09 13:35:27,HND,2023-07-09 21:51:27
154,ZD-IGG,787,J322,SFO,2023-05-19 06:45:27,CDG,2023-05-19 18:07:27
155,AU-WUU,787,P975,OUL,2023-08-26 03:09:27,FRA,2023-08-26 04:53:27
156,QE-IRB,320,X201,LHR,2023-06-23 07:24:27,OUL,2023-06-23 18:30:27
157,QL-KZH,320,W638,CDG,2023-03-09 05:15:27,OUL,2023-03-09 16:09:27
158,JC-HAB,320,B335,HND,2023-05-08 17:48:27,SFO,2023-05-09 01:57:27
159,DK-YRK,320,R295,AMS,2024-02-02 10:28:27,FRA,2024-02-02 21:47:27
160,AX-PHG,350,G716,HEL,2024-01-29 06:10:27,SFO,2024-01-29 07:13:27
161,QU-QUP,320,R545,HND,2023-11-16 15:42:27,HEL,2023-11-17 04:51:27
162,TK-XEX,320,D947,AMS,2024-01-01 01:21:27,HEL,2024-01-01 02:51:27
163,CZ-UZW,320,M400,OUL,2023-06-07 10:49:27,DXB,2023-06-07 21:52:27
164,GG-OGI,350,P367,LHR,2023-09-01 16:22:27,CDG,2023-09-02 01:07:27
165,ON-FTW,320,M453,FRA,2023-06-28 17:13:27,AMS,2023-06-28 20:54:27
166,OU-HDH,320,M428,JFK,2023-07-15 12:35:27,DXB,2023-07-15 18:45:27
167,YS-DDO,320,S422,LHR,2023-10-23 23:16:27,JFK,2023-10-24 08:44:27
168,JN-RCJ,787,V520,DXB,2023-08-19 10:49:27,HEL,2023-08-19 19:38:27
169,FH-OFJ,320,Z647,DXB,2024-02-20 17:15:27,HEL,2024-02-20 23:26:27
170,DN-EHH,350,H662,HEL,2023-04-03 15:04:27,JFK,2023-04-04 03:29:27
171,BK-DGP,320,O107,LHR,2023-09-25 01:20:27,HEL,2023-09-25 06:38:27
172,GB-EMA,320,A982,JFK,2023-03-25 20:15:27,OUL,2023-03-26 08:57:27
173,TA-EMZ,320,K132,SFO,2023-12-13 21:34:27,OUL,2023-12-14 03:41:27
174,ZE-LIK,320,M483,AMS,2023-11-13 10:55:27,JFK,2023-11-13 17:35:27
175,SF-OPX,787,J290,HND,2023-04-18 13:52:27,DXB,2023-04-19 01:17:27
176,AL-YHJ,320,R851,OUL,2023-08-14 00:42:27,HEL,2023-08-14 09:04:27
177,GJ-GQA,320,B369,CDG,2023-11-21 07:52:27,JFK,2023-11-21 20:36:27
178,MY-PUB,350,J763,LHR,2023-07-06 04:54:27,HEL,2023-07-06 13:23:27
179,MI-KHT,350,Z324,DXB,2023-06-18 14:05:27,SFO,2023-06-18 15:33:27
180,NJ-DKR,787,E295,JFK,2023-08-08 21:10:27,DXB,2023-08-08 22:50:27
181,WN-ZYN,320,O753,DXB,2023-06-09 20:13:27,LHR,2023-06-10 02:33:27
182,RB-EFS,350,N888,OUL,2023-08-25 01:07:27,DXB,2023-08-25 06:15:27
183,MG-BZE,320,S508,LHR,2023-11-27 00:59:27,SFO,2023-11-27 04:28:27
184,XX-XBV,320,S942,HND,2023-06-24 12:34:27,DXB,2023-06-24 18:44:27
185,HH-TXL,350,C450,DXB,2023-12-01 00:52:27,AMS,2023-12-01 03:45:27
186,RN-QNE,350,J868,HEL,2023-08-29 23:27:27,JFK,2023-08-30 12:50:27
187,HL-XNF,350,Z169,FRA,2023-09-15 09:10:27,CDG,2023-09-15 16:41:27
188,RM-ALC,320,A988,CDG,2023-08-13 04:54:27,JFK,2023-08-13 10:45:27
189,RM-VVS,787,D338,AMS,2023-12-12 07:38:27,LHR,2023-12-12 12:04:27
190,UB-CJL,350,Y148,OUL,2023-10-02 22:37:27,DXB,2023-10-03 02:41:27
191,LQ-QRA,787,C540,JFK,2023-10-23 21:54:27,AMS,2023-10-24 04:41:27
192,GD-EMC,787,C370,DXB,2023-12-18 05:35:27,CDG,2023-12-18 17:03:27
193,BW-WST,787,V658,LHR,2023-08-20 15:26:27,HND,2023-08-20 18:20:27
194,XP-NKA,350,H231,HND,2023-11-04 19:37:27,SFO,2023-11-05 02:47:27
195,SB-TYZ,787,W437,DXB,2023-03-05 20:39:27,HEL,2023-03-06 00:03:27
196,VS-GFT,787,N611,DXB,2023-09-14 21:53:27,FRA,2023-09-15 04:27:27
197,EO-YTT,350,I597,LHR,2024-01-16 22:48:27,SFO,2024-01-16 23:59:27
198,SR-JDD,350,G238,CDG,2024-01-17 03:06:27,SFO,2024-01-17 14:35:27
199,BI-RSL,320,J429,DXB,2023-09-01 12:53:27,CDG,2023-09-02 00:42:27
200,TV-PSQ,320,C726,FRA,2023-08-20 00:30:27,JFK,2023-08-20 05:18:27
201,NK-DCA,320,B792,CDG,2023-06-13 07:26:27,SFO,2023-06-13 15:48:27
202,SK-TDO,350,I487,DXB,2023-04-03 04:03:27,FRA,2023-04-03 07:27:27
203,WM-PUW,787,D490,OUL,2023-05-07 09:22:27,AMS,2023-05-07 12:04:27
204,KL-ROE,320,T526,OUL,2023-04-16 02:04:27,HND,2023-04-16 16:00:27
205,XD-OVY,350,Q142,HEL,2023-08-04 04:31:27,DXB,2023-08-04 14:47:27
206,IV-YCS,787,S608,OUL,2023-10-23 15:47:27,JFK,2023-10-24 02:38:27
207,TN-OTI,787,L215,HND,2024-01-21 06:29:27,AMS,2024-01-21 16:27:27
208,JA-VTD,350,Z394,HND,2023-04-05 15:48:27,SFO,2023-04-05 17:30:27
209,AF-JNT,787,Y955,HND,2023-05-07 20:35:27,HEL,2023-05-07 22:05:27
210,KH-ZAT,350,T440,JFK,2023-08-09 03:09:27,AMS,2023-08-09 16:55:27
211,OL-KID,787,J503,SFO,2023-03-06 17:40:27,FRA,2023-03-06 23:06:27
212,FO-RXB,320,H823,SFO,2024-01-20 04:40:27,JFK,2024-01-20 08:54:27
213,NB-WYV,787,J821,HEL,2023-07-26 22:57:27,CDG,2023-07-27 04:02:27
214,ZC-HDU,787,D752,CDG,2023-11-25 06:14:27,SFO,2023-11-25 08:05:27
997,G-DIX,320,AY120,HEL,2024-01-30 17:00:00,OUL,2024-01-30 18:30:00
215,OK-ZWN,320,S282,OUL,2023-11-27 03:09:27,JFK,2023-11-27 16:55:27
216,HB-VJR,350,R908,SFO,2023-07-01 05:00:27,CDG,2023-07-01 13:44:27
217,HM-IME,350,O991,CDG,2024-01-08 03:33:27,HEL,2024-01-08 05:50:27
218,VM-VDK,787,G383,HEL,2023-10-30 15:08:27,CDG,2023-10-31 00:28:27
994,G-DIX,320,AY120,HEL,2024-01-30 08:00:00,OUL,2024-01-30 09:30:00
219,JI-DAO,350,D677,CDG,2023-03-03 15:01:27,SFO,2023-03-03 21:29:27
220,RN-MXG,320,U935,LHR,2023-05-14 03:00:27,HND,2023-05-14 08:11:27
221,MP-TDI,320,X477,CDG,2024-01-16 10:41:27,HEL,2024-01-16 22:43:27
222,GL-HBJ,350,C484,JFK,2023-05-13 14:44:27,CDG,2023-05-14 02:59:27
223,KR-LGU,787,C122,LHR,2023-05-17 17:00:27,SFO,2023-05-18 04:03:27
224,TM-QIO,350,R412,FRA,2023-06-09 03:32:27,HND,2023-06-09 10:09:27
225,MU-NEV,350,K917,AMS,2023-10-09 11:02:27,DXB,2023-10-09 16:39:27
226,IZ-EGZ,320,R503,FRA,2023-05-13 07:05:27,LHR,2023-05-13 11:48:27
227,KB-OEN,320,Q427,DXB,2023-04-19 20:24:27,FRA,2023-04-20 03:32:27
228,UB-HML,787,J845,SFO,2023-11-04 13:50:27,HND,2023-11-04 17:42:27
229,DC-BFT,787,H500,DXB,2023-11-27 11:35:27,HND,2023-11-27 21:27:27
230,TE-RES,787,O947,HND,2023-04-25 09:18:27,JFK,2023-04-25 13:59:27
231,LM-WEF,320,A360,LHR,2023-12-12 19:55:27,SFO,2023-12-13 08:29:27
232,HU-JRE,350,D982,AMS,2023-09-06 05:00:27,JFK,2023-09-06 17:05:27
233,SQ-NWY,320,X386,HEL,2023-05-22 17:20:27,HND,2023-05-23 03:29:27
234,OZ-PIQ,320,M377,HEL,2024-01-14 04:49:27,DXB,2024-01-14 08:30:27
235,ZA-LBQ,787,I831,HND,2023-09-02 00:53:27,HEL,2023-09-02 09:04:27
236,SH-QVQ,350,D608,OUL,2023-08-31 05:00:27,HND,2023-08-31 06:16:27
237,EE-IXN,320,B935,FRA,2024-02-11 01:47:27,OUL,2024-02-11 14:13:27
238,OM-XJZ,320,R540,HND,2023-03-08 03:30:27,SFO,2023-03-08 10:06:27
239,KZ-NCK,350,E686,DXB,2023-07-01 19:06:27,JFK,2023-07-01 20:54:27
240,VK-GOP,350,Q952,CDG,2023-08-29 15:50:27,HND,2023-08-29 17:24:27
241,DG-FEH,787,R495,CDG,2023-02-24 13:14:27,HND,2023-02-25 03:11:27
242,JI-HEK,350,K252,HEL,2023-03-21 06:52:27,JFK,2023-03-21 17:35:27
243,UM-WIR,320,R790,SFO,2023-05-25 03:42:27,AMS,2023-05-25 14:53:27
244,HU-PFP,787,T420,CDG,2023-04-28 21:55:27,JFK,2023-04-29 02:43:27
245,PO-POE,350,O928,CDG,2023-12-03 01:11:27,AMS,2023-12-03 08:48:27
246,RY-BAB,320,H196,AMS,2023-06-01 05:15:27,CDG,2023-06-01 14:01:27
