id,aircraft_registration_number,aircraft_type,flight_number,departure_airport,departure_datetime,arrival_airport,arrival_datetime
497,UW-XFQ,787,G768,HEL,2023-09-15 21:10:27,CDG,2023-09-16 06:47:27
498,GV-YDV,350,M275,AMS,2024-02-05 17:42:27,HEL,2024-02-05 20:20:27
499,GD-HXO,320,Q636,AMS,2023-10-29 02:28:27,OUL,2023-10-29 07:24:27
500,UC-NLP,320,R755,OUL,2024-02-12 07:39:27,JFK,2024-02-12 20:40:27
501,RE-APT,350,N959,DXB,2023-07-26 12:25:27,FRA,2023-07-26 18:13:27
502,RV-AFJ,350,L515,CDG,2023-04-24 10:50:27,OUL,2023-04-25 00:30:27
503,DH-MBL,350,K820,SFO,2023-03-28 05:31:27,FRA,2023-03-28 08:43:27
504,JM-RQQ,787,T852,SFO,2023-10-07 00:15:27,AMS,2023-10-07 06:50:27
505,PZ-WYI,350,M289,FRA,2023-06-26 20:14:27,AMS,2023-06-27 09:42:27
506,FO-NDR,787,W582,LHR,2023-12-13 22:57:27,JFK,2023-12-14 06:31:27
507,BO-LCS,787,L747,FRA,2023-06-12 09:14:27,HEL,2023-06-12 17:29:27
508,UB-NYL,320,J618,CDG,2023-07-16 01:29:27,HND,2023-07-16 03:26:27
509,UQ-VBW,787,G691,OUL,2024-02-05 14:41:27,AMS,2024-02-06 02:20:27
510,KM-YZJ,787,J184,HND,2023-10-27 09:04:27,HEL,2023-10-27 20:31:27
511,OL-NAF,320,P357,OUL,2023-06-06 09:46:27,DXB,2023-06-06 12:58:27
512,OI-ZQH,350,K763,OUL,2023-11-15 17:08:27,HEL,2023-11-16 00:02:27
513,VT-HOW,350,R154,AMS,2023-03-11 17:29:27,JFK,2023-03-12 02:10:27
514,PB-UYO,787,U693,JFK,2023-04-17 03:04:27,CDG,2023-04-17 14:37:27
515,ZR-DWH,350,L372,FRA,2023-11-11 23:26:27,OUL,2023-11-12 04:44:27
516,KR-HPC,787,Z385,HEL,2024-01-28 15:48:27,FRA,2024-01-28 20:28:27
517,XM-FWY,350,Z617,LHR,2023-11-03 03:21:27,HND,2023-11-03 16:13:27
518,LG-PVM,320,I746,OUL,2023-09-16 03:26:27,FRA,2023-09-16 11:02:27
519,YX-GQK,320,B901,CDG,2023-12-02 21:12:27,LHR,2023-12-02 23:18:27
520,GO-XHL,320,T633,DXB,2023-11-04 21:09:27,OUL,2023-11-04 22:40:27
521,YN-OVS,350,H316,AMS,2023-08-28 19:56:27,LHR,2023-08-29 04:21:27
522,LV-CRH,350,O441,HND,2023-11-22 07:59:27,CDG,2023-11-22 11:22:27
523,HY-DOY,350,A362,HND,2023-12-10 06:35:27,DXB,2023-12-10 17:19:27
524,GF-ZEH,320,U776,DXB,2024-02-20 07:42:27,HEL,2024-02-20 14:44:27
525,YK-JVD,350,H169,LHR,2023-04-28 06:58:27,HND,2023-04-28 15:32:27
526,RU-YTM,787,U371,SFO,2023-07-20 04:01:27,OUL,2023-07-20 08:46:27
527,AE-GAS,320,D344,HND,2023-08-24 11:19:27,FRA,2023-08-24 21:04:27
528,JC-ISB,787,H272,HEL,2023-03-07 02:59:27,LHR,2023-03-07 07:00:27
529,VO-XXW,350,K532,HND,2024-01-25 10:40:27,HEL,2024-01-25 21:51:27
530,BQ-WQY,320,U727,HND,2023-03-03 14:17:27,LHR,2023-03-04 00:24:27
531,UT-NSZ,320,W366,FRA,2024-01-20 01:03:27,CDG,2024-01-20 12:10:27
532,JT-YHE,787,P161,OUL,2023-10-12 19:59:27,HND,2023-10-13 06:07:27
533,BX-TZU,350,A385,AMS,2023-08-26 01:03:27,HND,2023-08-26 11:32:27
534,FB-CBT,787,A712,DXB,2023-05-15 15:32:27,FRA,2023-05-16 03:06:27
535,PT-KHJ,320,Z112,JFK,2023-11-01 18:57:27,HEL,2023-11-02 05:06:27
536,XO-HWS,787,Q578,DXB,2023-11-20 04:09:27,AMS,2023-11-20 07:02:27
537,OF-VZV,350,V797,DXB,2023-06-19 03:59:27,FRA,2023-06-19 11:27:27
538,QP-EZK,350,L274,HND,2023-08-05 14:16:27,AMS,2023-08-05 19:39:27
539,IV-HHY,320,K576,LHR,2023-03-21 13:36:27,OUL,2023-03-22 00:30:27
540,QF-UBA,350,Y104,CDG,2023-06-04 19:20:27,DXB,2023-06-05 04:00:27
541,HJ-WFY,787,U555,LHR,2024-01-04 09:34:27,HND,2024-01-04 12:20:27
542,GU-XJT,350,P228,OUL,2023-09-20 16:48:27,HEL,2023-09-20 19:12:27
543,FZ-WCM,350,C946,AMS,2023-11-09 15:41:27,HEL,2023-11-10 03:40:27
544,LD-KYV,320,W710,LHR,2023-10-12 07:13:27,HEL,2023-10-12 16:36:27
545,DL-NQL,787,A168,FRA,2023-04-26 16:01:27,HEL,2023-04-26 22:48:27
546,HI-ADJ,320,J676,AMS,2023-08-10 23:02:27,HEL,2023-08-11 04:06:27
547,HB-DUR,787,P257,FRA,2023-06-27 23:23:27,LHR,2023-06-28 08:09:27
548,OI-WEK,350,O964,HEL,2024-02-11 12:24:27,LHR,2024-02-12 00:22:27
549,DV-TFP,320,F892,LHR,2023-11-20 20:50:27,DXB,2023-11-21 02:41:27
550,ZD-CPY,320,C495,DXB,2023-10-04 23:52:27,AMS,2023-10-05 00:53:27
551,KK-PVV,787,I252,DXB,2023-11-20 10:05:27,LHR,2023-11-20 15:43:27
552,XE-RCO,787,D668,HEL,2023-11-15 04:16:27,FRA,2023-11-15 13:43:27
553,SZ-GCY,320,F377,OUL,2023-02-24 00:33:27,FRA,2023-02-24 01:58:27
554,ON-APJ,787,Y572,AMS,2023-07-24 10:56:27,JFK,2023-07-24 22:52:27
555,QZ-DAE,787,G843,DXB,2023-04-22 21:29:27,AMS,2023-04-23 09:30:27
556,JI-NBY,787,D320,JFK,2023-04-21 05:17:27,OUL,2023-04-21 09:57:27
557,YT-RWX,320,W882,DXB,2023-02-24 18:58:27,LHR,2023-02-25 02:15:27
558,XH-UQM,787,Y487,HND,2024-01-19 20:29:27,HEL,2024-01-20 02:21:27
559,WF-GJW,320,C635,HND,2023-03-04 16:12:27,HEL,2023-03-05 04:35:27
560,XP-PKQ,320,D628,OUL,2023-06-02 18:16:27,SFO,2023-06-02 21:54:27
561,JV-KUZ,320,G936,HEL,2023-05-05 13:32:27,OUL,2023-05-06 00:02:27
562,CF-FTK,320,E181,AMS,2024-02-12 06:14:27,OUL,2024-02-12 13:41:27
563,VR-HPB,350,N128,HEL,2023-03-09 09:49:27,JFK,2023-03-09 16:55:27
564,CI-KZS,320,G518,LHR,2023-04-20 07:41:27,JFK,2023-04-20 11:46:27
565,WY-JUP,787,I854,AMS,2024-01-04 06:39:27,LHR,2024-01-04 11:03:27
566,FO-OLM,787,U171,HEL,2023-03-13 10:40:27,OUL,2023-03-13 16:07:27
567,BS-FRL,350,M506,CDG,2024-02-10 20:17:27,AMS,2024-02-11 06:52:27
568,NZ-MAN,320,U318,SFO,2023-12-21 23:42:27,HEL,2023-12-22 12:12:27
569,LV-IJS,320,O650,CDG,2023-03-10 02:53:27,HND,2023-03-10 16:51:27
570,SU-WKG,350,B852,LHR,2024-01-03 13:18:27,AMS,2024-01-03 19:44:27
571,FA-ZLC,350,T329,SFO,2023-04-07 21:41:27,JFK,2023-04-08 06:58:27
572,HQ-LKF,350,T812,HEL,2023-05-30 17:54:27,FRA,2023-05-31 03:37:27
573,ER-UGP,787,S691,AMS,2023-07-02 22:32:27,HEL,2023-07-03 00:17:27
574,QX-QQJ,787,V770,AMS,2023-07-03 11:05:27,HEL,2023-07-03 17:40:27
575,MG-SXR,350,I635,HND,2023-04-20 06:44:27,AMS,2023-04-20 11:26:27
576,GB-QYL,787,V374,JFK,2023-05-25 07:13:27,AMS,2023-05-25 16:57:27
577,SQ-PBI,320,O977,SFO,2024-02-15 02:08:27,CDG,2024-02-15 15:05:27
578,LY-OOC,787,B523,HND,2023-11-17 11:52:27,JFK,2023-11-17 13:08:27
579,EM-RIB,787,O859,CDG,2024-02-15 16:48:27,DXB,2024-02-16 02:58:27
580,CD-OSO,787,B857,HND,2023-06-03 20:22:27,DXB,2023-06-04 09:49:27
581,UZ-RLU,787,O731,CDG,2023-03-15 14:53:27,HEL,2023-03-16 00:06:27
582,JB-GFL,320,N623,LHR,2023-10-28 19:41:27,SFO,2023-10-29 01:54:27
583,VZ-SVZ,787,S702,AMS,2023-06-30 04:33:27,OUL,2023-06-30 12:20:27
584,PH-VXS,787,T645,LHR,2023-05-14 05:50:27,SFO,2023-05-14 11:56:27
585,TR-EPG,350,Y142,HND,2023-03-31 04:15:27,HEL,2023-03-31 16:14:27
586,OJ-DVZ,787,O665,HEL,2023-04-17 11:56:27,SFO,2023-04-17 18:36:27
587,RH-DVV,350,S241,SFO,2023-03-22 07:41:27,LHR,2023-03-22 12:22:27
588,MK-DUI,350,E340,JFK,2023-11-21 05:15:27,OUL,2023-11-21 14:59:27
589,AA-TKF,350,W333,HEL,2023-12-24 19:11:27,FRA,2023-12-25 04:36:27
590,YW-NWS,350,H808,HND,2023-10-28 11:28:27,FRA,2023-10-28 13:25:27
591,GQ-PUU,787,X590,FRA,2024-02-06 07:48:27,JFK,2024-02-06 18:19:27
592,UR-BHC,350,J702,HND,2023-09-20 11:25:27,CDG,2023-09-21 00:57:27
593,GH-ROC,350,D935,CDG,2023-02-24 08:57:27,DXB,2023-02-24 12:17:27
594,SP-LVJ,787,S389,SFO,2024-01-04 06:19:27,OUL,2024-01-04 16:31:27
595,FB-ELN,787,Z400,FRA,2024-02-03 03:14:27,JFK,2024-02-03 11:17:27
596,EN-LTQ,350,O449,HEL,2023-11-21 04:52:27,DXB,2023-11-21 17:12:27
597,JJ-QXA,320,Q354,FRA,2023-07-31 23:41:27,AMS,2023-08-01 05:05:27
598,LU-PWC,320,R631,HEL,2023-06-18 22:31:27,OUL,2023-06-19 06:54:27
599,LG-JBG,787,F702,HND,2023-11-05 14:08:27,HEL,2023-11-05 16:55:27
600,CX-NGY,320,X308,AMS,2024-02-04 01:56:27,LHR,2024-02-04 08:48:27
601,GF-CFX,787,M461,HEL,2023-06-06 14:50:27,JFK,2023-06-06 22:47:27
602,YI-RVI,787,C445,JFK,2023-03-08 06:42:27,AMS,2023-03-08 19:53:27
603,FR-HCE,787,R469,LHR,2023-08-17 02:54:27,JFK,2023-08-17 13:18:27
604,OW-OSO,350,O388,SFO,2023-06-15 05:59:27,FRA,2023-06-15 09:17:27
605,TI-KLE,350,I304,HND,2023-07-28 17:43:27,SFO,2023-07-29 06:00:27
606,LP-BDO,350,H663,CDG,2023-08-22 01:16:27,LHR,2023-08-22 15:10:27
607,EU-PMB,350,R520,HND,2024-01-24 11:27:27,LHR,2024-01-24 12:42:27
608,ND-GFY,350,J732,JFK,2023-04-25 05:54:27,SFO,2023-04-25 10:10:27
609,CL-LPV,320,X780,CDG,2023-09-04 11:21:27,LHR,2023-09-04 19:04:27
610,GN-RDR,787,G898,SFO,2023-08-31 21:29:27,FRA,2023-09-01 03:01:27
611,VE-QZR,350,U307,AMS,2023-09-01 20:58:27,SFO,2023-09-02 02:24:27
612,IX-IUN,320,D475,JFK,2023-03-30 04:09:27,HEL,2023-03-30 07:02:27
613,AJ-XVC,320,Q516,SFO,2023-07-31 19:09:27,LHR,2023-08-01 05:21:27
614,WI-XZZ,787,B439,AMS,2023-09-13 18:07:27,SFO,2023-09-14 03:22:27
615,XJ-NII,350,U451,OUL,2023-07-29 15:30:27,SFO,2023-07-30 03:20:27
616,GK-JQE,787,Q665,JFK,2024-01-10 18:51:27,FRA,2024-01-11 01:07:27
617,SS-GLC,350,A284,JFK,2023-06-16 19:17:27,DXB,2023-06-17 01:01:27
618,WS-ARI,320,T532,HEL,2023-07-17 18:44:27,LHR,2023-07-17 23:41:27
619,DD-FWM,320,S942,JFK,2023-09-20 20:38:27,OUL,2023-09-21 09:41:27
620,PU-LXP,320,M568,LHR,2024-01-14 15:49:27,JFK,2024-01-15 01:38:27
621,OL-AFA,320,F300,FRA,2023-08-31 23:44:27,AMS,2023-09-01 02:49:27
622,NX-EGT,350,H639,HEL,2023-03-06 04:26:27,JFK,2023-03-06 14:53:27
623,SC-PMK,787,X645,DXB,2023-02-25 08:55:27,HEL,2023-02-25 22:06:27
624,KC-BDB,787,J987,OUL,2024-02-21 09:05:27,DXB,2024-02-21 12:56:27
625,KS-TMG,320,J632,CDG,2023-12-01 17:53:27,OUL,2023-12-02 05:14:27
626,CV-XNU,320,H760,CDG,2023-12-21 21:28:27,OUL,2023-12-22 05:20:27
627,RG-LIP,787,K351,CDG,2023-07-14 10:57:27,OUL,2023-07-14 19:13:27
628,VP-EES,787,Q331,HEL,2023-07-20 12:47:27,HND,2023-07-21 02:15:27
629,FB-SEJ,787,A869,CDG,2024-01-25 06:42:27,OUL,2024-01-25 12:12:27
630,LU-RXW,350,H853,HEL,2023-07-13 15:15:27,FRA,2023-07-14 01:44:27
631,SZ-KIT,320,M193,CDG,2024-02-17 13:54:27,HEL,2024-02-17 18:40:27
632,VH-ASU,320,C851,CDG,2023-12-26 06:52:27,FRA,2023-12-26 14:04:27
633,TV-PHH,320,U592,LHR,2023-04-13 14:12:27,SFO,2023-04-13 22:02:27
634,FU-AHP,320,W914,JFK,2023-05-09 23:51:27,AMS,2023-05-10 05:17:27
635,ED-LSY,320,R280,HND,2023-11-09 00:24:27,SFO,2023-11-09 08:54:27
636,LZ-LXK,320,M870,JFK,2024-01-26 18:32:27,OUL,2024-01-27 00:49:27
637,DI-PWF,350,Q976,AMS,2023-10-28 00:09:27,OUL,2023-10-28 06:59:27
638,TT-UBT,350,Z229,CDG,2023-10-19 17:48:27,HEL,2023-10-20 00:46:27
639,LT-PRT,787,Z642,HEL,2023-05-23 04:14:27,JFK,2023-05-23 17:37:27
640,GM-RMA,350,E276,SFO,2024-02-17 02:29:27,CDG,2024-02-17 16:09:27
641,TP-NUX,350,K342,JFK,2023-07-27 11:50:27,SFO,2023-07-27 14:09:27
642,FD-CLN,320,D914,OUL,2023-09-29 22:27:27,CDG,2023-09-30 01:52:27
643,WO-RCQ,320,P580,OUL,2023-08-25 09:45:27,DXB,2023-08-25 19:19:27
644,QZ-FKJ,320,E609,SFO,2023-09-24 16:22:27,OUL,2023-09-25 06:17:27
645,PO-OKK,787,F758,HND,2023-05-13 08:25:27,SFO,2023-05-13 21:00:27
646,SG-TCA,787,R600,LHR,2023-07-21 14:05:27,SFO,2023-07-21 21:39:27
647,IX-MDF,787,M989,DXB,2023-10-22 23:12:27,HEL,2023-10-23 05:05:27
648,EZ-DBD,350,Q350,HEL,2024-01-12 18:52:27,SFO,2024-01-13 06:17:27
649,XA-NEO,350,I816,LHR,2023-10-27 03:17:27,HND,2023-10-27 17:11:27
650,DV-ODB,787,T574,AMS,2023-06-15 12:07:27,HEL,2023-06-15 20:50:27
651,HW-JIP,787,T702,AMS,2023-10-07 18:04:27,FRA,2023-10-08 06:32:27
652,YK-GHZ,787,H213,SFO,2023-07-13 14:37:27,FRA,2023-07-13 19:54:27
653,WL-KTM,350,I123,FRA,2023-10-11 05:21:27,OUL,2023-10-11 07:43:27
654,EQ-HAS,787,Z418,AMS,2023-04-22 00:53:27,LHR,2023-04-22 09:33:27
655,CU-HFQ,350,O156,SFO,2023-09-19 06:29:27,HND,2023-09-19 08:31:27
656,ND-KNT,320,L269,DXB,2023-05-02 22:19:27,OUL,2023-05-03 10:58:27
657,GD-TJA,787,O488,HEL,2023-08-18 12:44:27,OUL,2023-08-19 01:04:27
658,JV-UTU,787,E467,LHR,2023-04-16 00:22:27,DXB,2023-04-16 08:36:27
659,YP-FRQ,787,X510,OUL,2023-10-17 04:08:27,LHR,2023-10-17 10:26:27
660,BU-PEC,350,U268,OUL,2023-07-20 21:14:27,SFO,2023-07-21 07:46:27
661,AX-JTY,320,W567,AMS,2023-06-06 01:01:27,JFK,2023-06-06 09:46:27
662,DC-UII,320,G706,DXB,2023-03-24 20:29:27,OUL,2023-03-25 01:57:27
663,SK-FBG,787,K763,CDG,2024-01-05 12:23:27,SFO,2024-01-05 17:48:27
664,GE-YZV,320,U780,FRA,2024-02-13 22:15:27,SFO,2024-02-14 10:49:27
665,NV-DLC,787,M954,AMS,2024-01-07 05:41:27,OUL,2024-01-07 14:57:27
666,UA-XBV,350,M328,DXB,2023-08-02 02:01:27,HEL,2023-08-02 08:12:27
667,YY-MPH,787,X746,LHR,2023-09-16 00:31:27,FRA,2023-09-16 09:06:27
668,QV-NYH,350,R376,FRA,2024-02-04 01:39:27,OUL,2024-02-04 10:14:27
669,XE-OKL,320,F523,AMS,2023-11-18 23:16:27,HND,2023-11-19 00:28:27
670,LG-DJC,787,G789,DXB,2023-02-28 00:58:27,HEL,2023-02-28 09:15:27
671,YB-GDN,787,M521,HEL,2023-04-03 10:12:27,AMS,2023-04-03 12:54:27
672,BL-DBE,787,K204,LHR,2023-07-01 11:15:27,FRA,2023-07-01 14:24:27
673,KG-NZL,320,E769,HND,2023-05-12 06:31:27,SFO,2023-05-12 18:49:27
674,KO-YQD,787,R449,HND,2023-12-25 01:24:27,AMS,2023-12-25 05:31:27
675,WG-XRH,320,N872,HND,2024-01-08 03:02:27,HEL,2024-01-08 12:06:27
676,KQ-FIQ,787,E999,HND,2024-01-16 04:58:27,SFO,2024-01-16 17:43:27
677,TS-WNV,787,C261,HND,2024-01-06 09:40:27,JFK,2024-01-06 19:30:27
678,YF-LBC,787,Y262,SFO,2023-09-16 22:01:27,HEL,2023-09-17 04:55:27
679,KD-QEU,320,K291,JFK,2023-10-02 06:17:27,DXB,2023-10-02 08:55:27
680,JS-AIN,320,Y991,OUL,2023-11-13 20:53:27,SFO,2023-11-13 23:24:27
681,OJ-QXS,350,V881,CDG,2023-10-11 13:12:27,FRA,2023-10-12 00:36:27
682,CH-YWL,350,U621,LHR,2023-11-14 14:30:27,DXB,2023-11-14 23:09:27
683,KY-AJW,787,L923,HEL,2023-10-18 10:54:27,SFO,2023-10-18 16:21:27
684,RN-VUU,320,C602,JFK,2023-06-12 19:19:27,CDG,2023-06-13 07:46:27
685,IY-AFZ,787,P438,JFK,2023-09-04 06:48:27,AMS,2023-09-04 09:09:27
686,AA-CKT,320,N974,DXB,2023-04-28 00:48:27,HEL,2023-04-28 11:29:27
687,MW-ECQ,350,M615,AMS,2024-01-21 11:37:27,HND,2024-01-21 15:19:27
688,ON-UCA,320,V777,LHR,2023-04-04 03:05:27,HEL,2023-04-04 10:33:27
689,JN-JOQ,350,F902,AMS,2023-09-25 08:57:27,DXB,2023-09-25 14:08:27
690,ZC-GDY,787,V691,FRA,2023-11-23 17:11:27,HEL,2023-11-24 04:17:27
691,RB-EAC,787,E609,LHR,2023-08-14 09:34:27,HEL,2023-08-14 18:24:27
692,WK-KEW,787,O112,HEL,2023-10-30 13:07:27,LHR,2023-10-30 15:13:27
693,HB-MVS,320,E231,OUL,2023-03-17 17:14:27,CDG,2023-03-17 20:56:27
694,QN-IDM,787,F160,AMS,2023-08-02 23:42:27,CDG,2023-08-03 11:49:27
695,AW-NKZ,787,Q339,OUL,2023-06-26 04:44:27,SFO,2023-06-26 14:19:27
696,HG-BDH,320,I334,LHR,2023-04-28 00:26:27,FRA,2023-04-28 10:28:27
697,MB-XQQ,350,I822,HND,2024-01-23 22:11:27,AMS,2024-01-24 01:29:27
698,AZ-MWL,350,C109,DXB,2023-03-24 10:21:27,CDG,2023-03-24 14:00:27
699,MT-VBW,350,E724,AMS,2023-09-23 00:04:27,FRA,2023-09-23 09:07:27
700,HN-RIM,350,Y685,OUL,2023-08-04 05:41:27,HND,2023-08-04 06:51:27
701,HW-NEE,787,S775,HND,2023-04-09 22:54:27,OUL,2023-04-10 03:18:27
702,VR-ZDB,320,N843,CDG,2023-04-28 04:09:27,JFK,2023-04-28 07:36:27
703,UL-SGF,350,B427,HND,2023-12-25 01:13:27,LHR,2023-12-25 10:30:27
704,OL-QKS,350,S814,LHR,2023-04-03 16:11:27,DXB,2023-04-03 19:31:27
705,HM-USI,787,V929,SFO,2023-10-24 07:58:27,OUL,2023-10-24 19:37:27
706,OC-RPJ,350,P443,HEL,2023-06-15 07:24:27,OUL,2023-06-15 08:47:27
707,TU-QXK,350,O699,HEL,2023-03-11 22:46:27,CDG,2023-03-12 03:49:27
708,LB-RTQ,320,O930,CDG,2024-01-27 13:31:27,LHR,2024-01-27 23:07:27
709,WB-NPA,320,B973,LHR,2023-10-13 02:23:27,FRA,2023-10-13 08:30:27
710,EJ-UWO,350,Q760,AMS,2023-05-15 14:22:27,HND,2023-05-16 02:45:27
711,GW-XSG,787,C436,DXB,2024-01-03 00:01:27,SFO,2024-01-03 02:30:27
712,XF-MBB,320,S210,LHR,2023-12-23 15:51:27,JFK,2023-12-24 03:49:27
713,JH-VLZ,320,T587,CDG,2023-10-12 11:40:27,HND,2023-10-12 23:01:27
714,CT-HNL,350,H964,OUL,2023-11-04 03:15:27,DXB,2023-11-04 07:38:27
715,WP-ACW,320,Z337,HEL,2023-04-02 22:25:27,AMS,2023-04-03 00:54:27
716,JC-VPE,350,H723,HEL,2023-12-17 15:21:27,LHR,2023-12-18 00:30:27
717,VS-HZS,350,S201,DXB,2023-09-30 08:06:27,JFK,2023-09-30 19:43:27
718,VX-PVX,350,B687,DXB,2023-09-20 20:11:27,AMS,2023-09-21 01:21:27
719,SZ-BUV,350,W679,AMS,2023-02-23 13:28:27,HEL,2023-02-24 02:01:27
720,XI-OKW,320,W925,HND,2024-01-28 04:54:27,SFO,2024-01-28 15:12:27
721,FX-VHN,320,E950,FRA,2023-09-27 15:47:27,JFK,2023-09-28 03:32:27
722,FC-ZGM,787,M474,SFO,2023-06-16 16:47:27,AMS,2023-06-16 18:57:27
723,OD-INE,787,W463,OUL,2023-12-16 17:10:27,LHR,2023-12-16 19:33:27
724,MY-GMO,320,Z416,LHR,2023-03-03 13:55:27,FRA,2023-03-03 18:49:27
725,JJ-DJX,787,X255,DXB,2023-11-15 13:18:27,FRA,2023-11-15 22:01:27
726,IS-ZVO,350,T718,FRA,2023-03-16 20:16:27,AMS,2023-03-16 22:56:27
727,QV-AIJ,350,J117,FRA,2023-09-23 22:42:27,SFO,2023-09-24 05:39:27
728,EQ-PVM,350,M260,DXB,2024-01-09 09:00:27,CDG,2024-01-09 14:50:27
729,QN-QWL,320,O250,OUL,2023-07-13 19:48:27,HEL,2023-07-14 05:18:27
730,WQ-ETX,787,R317,CDG,2024-01-22 02:30:27,OUL,2024-01-22 05:51:27
731,HU-JGN,787,Z776,DXB,2023-05-11 14:46:27,HEL,2023-05-11 18:43:27
732,EZ-RHW,320,Z380,HEL,2023-07-22 15:43:27,LHR,2023-07-22 17:45:27
733,LN-VKV,787,Z400,LHR,2023-09-03 06:25:27,OUL,2023-09-03 12:07:27
734,ZN-VQJ,320,R851,CDG,2023-08-21 13:29:27,DXB,2023-08-21 18:27:27
735,MI-KWK,320,F556,JFK,2023-08-01 12:16:27,DXB,2023-08-01 13:28:27
736,IU-PEY,350,X784,HEL,2024-02-07 03:46:27,FRA,2024-02-07 16:38:27
737,YQ-ORX,320,J607,LHR,2023-03-07 20:01:27,HND,2023-03-07 22:02:27
738,VZ-GOO,350,Y574,HEL,2023-10-05 21:14:27,DXB,2023-10-06 00:16:27
739,MO-YVV,787,K828,OUL,2023-12-29 13:43:27,DXB,2023-12-30 01:25:27
740,AW-BSJ,320,T594,AMS,2023-03-15 09:56:27,OUL,2023-03-15 11:07:27
741,ZZ-NNR,350,I916,DXB,2023-05-20 10:56:27,JFK,2023-05-21 00:33:27
742,YX-QVJ,350,I778,OUL,2023-06-06 07:59:27,HEL,2023-06-06 09:53:27
743,YR-IEG,350,N763,OUL,2024-02-15 12:17:27,SFO,2024-02-15 21:47:27
744,PY-PDQ,787,W823,HEL,2024-02-08 15:09:27,FRA,2024-02-09 03:56:27
745,IU-HVP,787,S271,LHR,2023-12-05 04:57:27,FRA,2023-12-05 11:43:27
746,DU-LKU,787,K549,AMS,2023-05-13 12:19:27,OUL,2023-05-13 21:25:27
